Quarter,REER,GDP,GDP Non-Oil,GDP Oil,CPI,OPEC,Total Exports,Oil Exports,Non-oil Exports,log_GDP,log_Non_oil_GDP,log_Oil_GDP,log_REER,log_CPI,log_OPEC,log_Total_Exports,log_Oil_Exports,log_Non_oil_Exports,dlog_GDP,dlog_Non_oil_GDP,dlog_Oil_GDP,dlog_REER,dlog_CPI,dlog_OPEC,dlog_Total_Exports,dlog_Oil_Exports,dlog_Non_oil_Exports
2015Q2,97.49333333333334,652337.08,334515.58,192997.26,96.23666667,59.895,220661.9457,172703.50772,47958.438,13.388316701178535,12.720438734446315,12.170431270895055,4.579783999597676,4.566810435468094,4.092593029183295,12.304387151913417,12.059331574988144,10.778090039803736,-0.0036315018930643816,-0.03691713658711748,0.1638870956368912,0.0020877906103393684,0.002878997496599922,0.17510877309266482,0.1347207187423063,0.17404246539653911,0.004698252037641737
2015Q3,99.21,619818.18,338921.32,159034.1,96.57666667,48.291060606060604,184956.45927,138794.18878,46162.27048,13.337181455948203,12.733523265029234,11.976873923616756,4.597238815661811,4.57033716618236,3.8772464629091323,12.127875721062761,11.840747458599118,10.739918087147375,-0.051135245230332416,0.01308453058291903,-0.19355734727829876,0.017454816064135237,0.003526730714265902,-0.2153465662741625,-0.17651143085065613,-0.2185841163890263,-0.038171952656361086
2015Q4,100.5,583700.82,336757.86,136359.71,96.95,39.70661538461538,164844.9527,116934.80679,47910.14591,13.277143836022145,12.727119434757457,11.823051599526199,4.61015772749913,4.574195381688661,3.681517808184363,12.012760630500061,11.669371851559347,10.777082575374513,-0.06003761992605838,-0.006403830271777267,-0.15382232409055696,0.012918911837319413,0.003858215506300944,-0.1957286547247694,-0.11511509056269986,-0.17137560703977073,0.03716448822713758
2016Q1,102.64666666666666,594201.06,354955.37,109462.65,98.42,30.15921875,140185.63676999998,97158.41141,43027.22536,13.294973025920195,12.779747342244484,11.603338674161847,4.631292670133663,4.589244035437832,3.4064906392896646,11.85072280018895,11.484098032735426,10.669588342229105,0.017829189898050046,0.05262790748702706,-0.21971292536435172,0.021134942634533083,0.015048653749171415,-0.27502716889469836,-0.1620378303111103,-0.18527381882392113,-0.10749423314540785
2016Q2,100.26666666666667,623176.59,344677.98,149079.56,98.52333333,42.370615384615384,175940.96351,130316.79198000001,45624.17153,13.342585208648272,12.750365868828233,11.91223540215337,4.607833303407575,4.590293406723828,3.7464550885975543,12.077903783147246,11.777723626490431,10.728192932473354,0.0476121827280771,-0.02938147341625097,0.308896727991522,-0.023459366726088504,0.0010493712859958038,0.3399644493078897,0.22718098295829492,0.29362559375500474,0.05860459024424891
2016Q3,100.37,625046.18,348753.99,157133.14,98.58,42.89621212121212,175454.19899,133390.33987999998,42063.85911,13.345580813988954,12.762122052912481,11.964848750437703,4.608863357825709,4.590868401277231,3.7587835264928495,12.075133313412355,11.801034995148935,10.646944197544121,0.002995605340682772,0.011756184084248389,0.05261334828433384,0.0010300544181340854,0.000574994553403485,0.012328437895295252,-0.0027704697348909235,0.02331136865850425,-0.08124873492923257
2016Q4,102.23666666666668,655075.72,347894.55,172165.13,98.18,47.518125,196842.22009000002,149878.66742,46963.55267,13.392506110989306,12.75965469559623,12.056209353374063,4.627290387072174,4.586802528629907,3.8611112172052318,12.190157773569023,11.917581361888649,10.757127104749454,0.04692529700035131,-0.0024673573162505846,0.09136060293636028,0.018427029246464777,-0.004065872647324831,0.10232769071238224,0.11502446015666834,0.11654636673971375,0.11018290720533308
2017Q1,102.21,657878.39,362815.44,178685.86,97.81666667,51.95375,207373.76948000002,161875.78585,45497.98363,13.396775375597393,12.801649554200688,12.093384570988272,4.627029520340985,4.583094978370311,3.95035389973311,12.2422780936837,11.99458456609597,10.725423288132891,0.004269264608087298,0.04199485860445762,0.03717521761420883,-0.00026086673118896897,-0.003707550259595571,0.08924268252787826,0.05212032011467649,0.07700320420732076,-0.031703816616563074
2017Q2,100.25333333333333,650512.9,352569.9,170875.92,97.88333333,48.47296875,189728.28292,144378.16056,45350.12236,13.385516407637375,12.773004179448376,12.048692958064427,4.607700315841717,4.583776293266364,3.881006297207953,12.153348237693367,11.880191251343259,10.722168153665331,-0.011258967960017685,-0.02864537475231188,-0.04469161292384527,-0.019329204499268116,0.0006813148960533866,-0.06934760252515693,-0.0889298559903331,-0.11439331475271075,-0.0032551344675599836
2017Q3,97.39,669249.64,363192.84,174719.72,97.82333333,49.97784615384615,196288.47941,149410.08192,46878.39747,13.413912423466877,12.80268921185857,12.070938368973291,4.578723535973108,4.583163130690926,3.911579830317485,12.187340689851524,11.914450032134921,10.75531224000621,0.02839601582950202,0.029685032410194268,0.022245410908864116,-0.028976779868608915,-0.0006131625754379755,0.030573533109532036,0.033992452158157604,0.03425878079166189,0.0331440863408794
2017Q4,95.7,703589.18,360731.21,203183.89,96.88,59.3521875,238490.75603,182755.03818,55735.71785,13.463949913671584,12.795888389347512,12.221866710047458,4.5612182984589085,4.573473099244837,4.083488978000714,12.382085829775324,12.115901945932425,10.928376474439355,0.050037490204706714,-0.006800822511058513,0.15092834107416664,-0.0175052375141993,-0.009690031446089264,0.17190914768322907,0.19474513992379983,0.20145191379750393,0.173064234433145
2018Q1,96.01666666666667,749238.65,362205.65,236094.07,100.74,64.74952380952381,244234.99195,187650.46531,56584.52664,13.526812836582355,12.799967423426295,12.371985606282111,4.564521787510283,4.612542940317504,4.170526346259535,12.40588612257194,12.14233628422969,10.943490845897172,0.06286292291077089,0.004079034078783295,0.15011889623465358,0.003303489051374342,0.03906984107266709,0.08703736825882125,0.023800292796616773,0.026434338297265825,0.015114371457816134
2018Q2,96.84333333333332,798575.62,356397.26,273781.99,100.24,71.9876923076923,281094.02736,220341.17221,60752.85513,13.590584944720513,12.783801286558218,12.52008741173292,4.573094552515606,4.607567310587813,4.276495164233179,12.546444509283623,12.30293240688535,11.014569358123113,0.06377210813815815,-0.016166136868077885,0.14810180545080875,0.008572765005323113,-0.004975629729691455,0.10596881797364333,0.14055838671168175,0.1605961226556598,0.07107851222594164
2018Q3,99.66333333333334,801570.61,366036.47,284012.58,99.98333333,74.11323076923077,288431.63991,230945.30459,57486.33533,13.594328344468934,12.810488252228032,12.556773811936962,4.601797839347233,4.6050035053976535,4.305594069254474,12.572213386801199,12.349936184801244,10.959302552108271,0.0037433997484210835,0.0266869656698141,0.0366864002040419,0.02870328683162704,-0.0025638051901593073,0.02909890502129553,0.025768877517576172,0.04700377791589361,-0.05526680601484202
2018Q4,99.43333333333334,825304.33,367796.36,284269.9,99.03666667,68.06650793650793,290139.82675999997,229520.92745999998,60618.89932,13.623507482144015,12.815284694420406,12.557679417957356,4.599487402852593,4.595490151968443,4.220485285078952,12.578118247001655,12.34374949151498,11.012361993403074,0.02917913767508118,0.004796442192374073,0.0009056060203942451,-0.0023104364946400224,-0.009513353429210447,-0.0851087841755227,0.005904860200455886,-0.006186693286263534,0.05305944129480267
2019Q1,96.88333333333333,755656.83,371497.26,223598.62,97.51333333,62.89714285714286,249087.27658,189847.99378,59239.2828,13.535342623533479,12.825296767608041,12.317607848508795,4.57350750547925,4.579989120756649,4.141500739099878,12.425558622386555,12.153978998208801,10.989340161623776,-0.08816485861053636,0.010012073187635195,-0.24007156944856156,-0.025979897373343164,-0.015501031211793581,-0.07898454597907367,-0.1525596246150993,-0.18977049330617923,-0.02302183177929784
2019Q2,97.0,788245.0,373455.61,241462.4,97.53333333,68.03171875,252617.00988000003,195822.46327,56794.5466,13.57756423422195,12.830554427763692,12.39446904637148,4.574710978503383,4.580194199883738,4.219974048626977,12.439629825823745,12.184963728085405,10.947195589536554,0.04222161068847008,0.0052576601556513225,0.07686119786268542,0.0012034730241330394,0.00020507912708822573,0.07847330952709886,0.01407120343719015,0.030984729876603723,-0.04214457208722244
2019Q3,98.16000000000001,786489.26,385509.02,236970.7,98.16333333,62.26348484848485,235873.72561000002,180006.10932,55867.61629,13.57533434595176,12.862319869895964,12.375691783782628,4.5865988004026566,4.586632757955676,4.131375135957256,12.371051879836966,12.100746069963042,10.930740176248571,-0.0022298882701896616,0.03176544213227217,-0.01877726258885204,0.011887821899273732,0.006438558071938161,-0.08859891266972042,-0.06857794598677991,-0.0842176581223626,-0.016455413287982168
2019Q4,97.70333333333333,814226.55,388665.04,247756.49,98.41666667,63.012307692307694,243434.35126,186154.6411,57279.71015,13.609993923215017,12.870473171966994,12.420201647610988,4.581935676515178,4.589210166443231,4.143330067506575,12.40260258047318,12.134333011034116,10.955701741391277,0.03465957726325719,0.0081533020710296,0.04450986382835964,-0.004663123887478804,0.002577408487555388,0.011954931549318815,0.03155070063621501,0.033586941071073184,0.02496156514270531
2020Q1,97.93333333333334,722186.58,373685.31,179810.81,98.63,51.39125,191673.17391,143017.18846,48655.985459999996,13.490038805542627,12.831169305094296,12.099660521570556,4.5842869750716675,4.591375474965902,3.9394679245067237,12.163546981369844,11.8707201010397,10.79253011108448,-0.11995511767239009,-0.03930386687269838,-0.32054112604043183,0.002351298556489745,0.002165308522671161,-0.2038621429998515,-0.2390555991033363,-0.263612909994416,-0.16317163030679716
2020Q2,99.82,598320.82,332237.65,96839.15,98.47,26.816666666666666,119655.92301,76531.34688,43124.576140000005,13.301882377368688,12.713605805079524,11.480806633648749,4.603368564041463,4.589751933259711,3.2890235847702827,11.692375594911129,11.245455699021894,10.671848325647678,-0.1881564281739383,-0.11756350001477145,-0.6188538879218068,0.019081588969795504,-0.0016235417061913893,-0.650444339736441,-0.4711713864587157,-0.6252644020178053,-0.12068178543680119
2020Q3,102.29,699669.48,367364.94,161716.01,104.0633333,43.35727272727273,160579.18013,106607.10892,53972.0712,13.45836333108894,12.814111019882521,11.993597051177277,4.627811916468916,4.644999687830389,3.76947445679695,11.986542434046228,11.576905476295227,10.896221991752357,0.1564809537202514,0.10050521480299679,0.512790417528528,0.024443352427453213,0.05524775457067843,0.48045087202666714,0.2941668391350998,0.3314497772733329,0.2243736661046789
2020Q4,99.95333333333333,733340.06,381787.21,165833.92,103.9566667,43.972923076923074,180043.68563000002,121582.69071999998,58460.994909999994,13.505364802345639,12.852618690498424,12.018742084594859,4.604703410398647,4.643974145965677,3.7835740598760466,12.10095479837041,11.70834989232941,10.976115057165648,0.04700147125669929,0.03850767061590332,0.025145033417581786,-0.02310850607026893,-0.001025541864712487,0.014099603079096745,0.11441236432418123,0.13144441603418322,0.079893065413291
2021Q1,97.77,745677.5,383510.02,177855.52,103.8633333,60.21523809523809,208031.59256000002,147892.8753,60138.717269999994,13.522048480084852,12.857121027218659,12.08872681428601,4.5826177815175795,4.643075932066388,4.097925444789789,12.245445234457438,11.90424347512477,11.004409127249538,0.016683677739212754,0.004502336720234368,0.06998472969115177,-0.022085628881067798,-0.0008982138992887911,0.3143513849137425,0.14449043608702894,0.1958935827953603,0.028294070083889622
2021Q2,97.70666666666666,776911.96,370339.94,208937.71,104.08,67.4190625,232178.53386999998,166416.10508,65762.4288,13.563082315336686,12.822176619578508,12.249791448247201,4.581969792817656,4.64515983420425,4.210927804339907,12.355261897245507,12.022246588022385,11.093803963354576,0.04103383525183446,-0.03494440764015039,0.16106463396119075,-0.0006479886999235518,0.002083902137862026,0.11300235955011839,0.10981666278806834,0.11800311289761467,0.08939483610503807
2021Q3,98.29666666666667,852652.15,409230.72,251854.93,104.5266667,72.58045454545456,273593.31993,204280.90375,69312.41618,13.656106947288341,12.92203438355553,12.436608526126141,4.587990116778238,4.649442222583093,4.284695664447245,12.519398048971944,12.227251304826593,11.14637933478631,0.09302463195165522,0.09985776397702217,0.1868170778789402,0.0060203239605822745,0.004282388378842761,0.07376786010733749,0.1641361517264368,0.20500471680420773,0.0525753714317343
2021Q4,98.79,902843.83,419588.99,281279.96,105.06,78.83545454545455,321868.1543,239628.22482,82239.92955,13.71330487170585,12.947030915884524,12.547105751271886,4.592996385056383,4.654531615525816,4.367362826455211,12.681897281979792,12.386843938035168,11.31739622404952,0.05719792441750826,0.024996532328993126,0.11049722514574434,0.005006268278144432,0.005089392942722704,0.08266716200796598,0.16249923300784808,0.1595926332085753,0.17101688926321046
2022Q1,98.29,979448.46,419955.22,364225.94,105.5366667,98.1115625,367103.7758,288518.39663,78585.37917999999,13.794744896299319,12.947903365527717,12.80552966834116,4.587922292578538,4.659058444192802,4.586105224049909,12.813399854912825,12.572514129379098,11.271940945592636,0.08144002459346922,0.0008724496431931072,0.25842391706927437,-0.005074092477844516,0.004526828666985949,0.21874239759469827,0.1315025729330337,0.18567019134392915,-0.045455278456884685
2022Q2,100.32666666666667,1088322.08,421434.82,469554.96,106.4566667,112.62203124999999,427803.42220000003,341619.1102,86184.31208999999,13.90014769200173,12.951420406269413,13.05954063148226,4.6084315286904625,4.667738016903126,4.724037355980638,12.966419075130938,12.74145168254022,11.364243445773264,0.1054027957024104,0.0035170407416966754,0.2540109631411003,0.020509236111924345,0.00867957271032438,0.13793213193072873,0.15301922021811265,0.1689375531611219,0.09230250018062769
2022Q3,103.76333333333332,1065228.57,448203.45,422049.0,107.57,101.8209090909091,399055.9543,320116.6817,78939.2727,13.878699953816456,13.013002537775831,12.952876700021546,4.642112664909809,4.678141798443914,4.623215476846324,12.896856922380657,12.676440838626933,11.276434135847818,-0.021447738185273124,0.06158213150641778,-0.10666393146071407,0.03368113621934654,0.010403781540787804,-0.10082187913431362,-0.06956215275028121,-0.06501084391328682,-0.08780930992544533
2022Q4,104.69666666666667,1024144.08,464898.65,352598.79,108.2966667,87.71046875,347977.7105,276030.07646,71947.63409,13.839367777808834,13.04957470382417,12.773086117289424,4.651067280375096,4.684874375139929,4.474041262265507,12.759893706417948,12.528265111443355,11.18369382907855,-0.03933217600762262,0.03657216604833913,-0.17979058273212267,0.008954615465286864,0.0067325766960149025,-0.14917421458081748,-0.13696321596270877,-0.14817572718357752,-0.0927403067692687
2023Q1,100.98666666666668,1011430.2,471809.45,327564.04,108.72,80.5615625,309459.76836,241877.45405,67582.31439,13.826875926782785,13.064330475428712,12.699438856926335,4.61498849492543,4.688775769842889,4.389021643703845,12.642583373513686,12.396186488657866,11.12110160635249,-0.01249185102604855,0.014755771604541223,-0.07364726036308866,-0.03607878544966603,0.003901394702960026,-0.0850196185616614,-0.11731033290426218,-0.13207862278548888,-0.06259222272606024
2023Q2,101.58,978486.94,463142.2,306272.64,109.37,78.07140625,295054.149,228313.75347,66740.39555,13.793762718769564,13.045789413344203,12.632230964639255,4.620846665373099,4.694736629347134,4.3576238726509,12.594914174409832,12.338476073673128,11.108565679018398,-0.03311320801322104,-0.018541062084509008,-0.06720789228707957,0.005858170447669231,0.005960859504245519,-0.03139777105294517,-0.047669199103854254,-0.05771041498473828,-0.012535927334091923
2023Q3,102.50999999999999,996833.06,466726.24,318787.66,109.7033333,87.65338461538462,299615.80614,231531.34335,68084.4628,13.812338592596962,13.053498154912754,12.672280517495334,4.62996035479531,4.6977797524166345,4.47339022574303,12.61025628671021,12.3524705357843,11.12850431339022,0.018575873827398226,0.007708741568551503,0.04004955285607892,0.009113689422211024,0.0030431230695002753,0.11576635309212957,0.015342112300379185,0.013994462111172723,0.019938634371822417
